"url","historicalGroup","priorRecordedClassification","currentStatus","currentHops","canonical","robots","robotsEligible","inSitemap","disposition"
"https://www.oligopolypeptides.com/products/longevity-research-Research%20Panel","historical redirect/link repair recommendation","still present","404","0","[]","[{""name"":""robots"",""content"":""follow, noindex""}]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/products/recovery-research-Research%20Panel","historical redirect/link repair recommendation","still present","404","0","[]","[{""name"":""robots"",""content"":""follow, noindex""}]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/peptide-reconstitution-guide/","historical redirect/link repair recommendation","already resolved","301","1","[]","[]","true","false","One-hop redirect now reaches an indexable destination"
"https://www.oligopolypeptides.com/products/bpc-157-tb-500-research-peptide-blend/","historical redirect/link repair recommendation","already resolved","301","1","[]","[]","true","false","One-hop redirect now reaches an indexable destination"
"https://www.oligopolypeptides.com/products/selank-5mg-research-peptide/","historical redirect/link repair recommendation","already resolved","200","0","[""https://www.oligopolypeptides.com/products/selank-5mg-research-peptide/""]","[{""name"":""robots"",""content"":""follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large""}]","true","true","Earlier access/indexability defect absent in current response"
"https://www.oligopolypeptides.com/products/ss-31","historical redirect/link repair recommendation","already resolved","301","1","[]","[]","true","false","One-hop redirect now reaches an indexable destination"
"https://www.oligopolypeptides.com/products/tesamorelin","historical redirect/link repair recommendation","still present","301","2","[]","[]","true","false","Redirect chain still present"
"https://www.oligopolypeptides.com/gh-axis-research-peptides-cjc-1295-ipamorelin-tesamorelin/","historical redirect/link repair recommendation","still present","404","0","[]","[{""name"":""robots"",""content"":""follow, noindex""}]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/products/ara-290","historical redirect/link repair recommendation","still present","301","1","[]","[]","true","false","Missing/gone response still present"
"https://www.oligopolypeptides.com/products/cjc-1295-no-dac","historical redirect/link repair recommendation","still present","301","2","[]","[]","true","false","Redirect chain still present"
"https://www.oligopolypeptides.com/products/epitalon","historical redirect/link repair recommendation","still present","301","1","[]","[]","true","false","Missing/gone response still present"
"https://www.oligopolypeptides.com/products/ipamorelin","historical redirect/link repair recommendation","still present","301","2","[]","[]","true","false","Redirect chain still present"
"https://www.oligopolypeptides.com/products/pinealon","historical redirect/link repair recommendation","already resolved","301","1","[]","[]","true","false","One-hop redirect now reaches an indexable destination"
"https://www.oligopolypeptides.com/products/peg-mgf-2mg-research-peptide/","historical redirect/link repair recommendation","still present","404","0","[]","[{""name"":""robots"",""content"":""follow, noindex""}]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/products/melanotan-ii","historical redirect/link repair recommendation","still present","301","1","[]","[]","true","false","Missing/gone response still present"
"https://www.oligopolypeptides.com/peptide-dosage-calculation/","historical redirect/link repair recommendation","still present","404","0","[]","[{""name"":""robots"",""content"":""follow, noindex""}]","true","false","Exclusion remains; do not infer defect or stale GSC from exclusion alone"
"https://www.oligopolypeptides.com/products/igf-1-lr3","historical redirect/link repair recommendation","still present","301","1","[]","[]","true","false","Missing/gone response still present"
