"from","status","hops","chain","finalStatus","proposedTo","disposition"
"https://www.oligopolypeptides.com/products/ipamorelin","301","2","[""https://www.oligopolypeptides.com/products/ipamorelin-5mg-research-peptide/"",""https://www.oligopolypeptides.com/cjc-1295-vs-ipamorelin/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/products/cjc-1295-no-dac","301","2","[""https://www.oligopolypeptides.com/products/cjc-1295-no-dac-2mg-research-peptide/"",""https://www.oligopolypeptides.com/cjc-1295-vs-ipamorelin/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://oligopolypeptides.com/stacks/longevity-research-stack","301","2","[""https://www.oligopolypeptides.com/stacks/longevity-research-stack"",""https://www.oligopolypeptides.com/longevity-research-blends/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://oligopolypeptides.com/contact?subject=404%20Error&message=Broken%20link%20found:%20/cagrilintide-research-peptide","301","2","[""https://www.oligopolypeptides.com/contact?subject=404%20Error&message=Broken%20link%20found:%20/cagrilintide-research-peptide"",""https://www.oligopolypeptides.com/contact/?subject=404%20Error&message=Broken%20link%20found:%20/cagrilintide-research-peptide""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://oligopolypeptides.com/product-tag/lyophilized-nad-vial","301","2","[""https://www.oligopolypeptides.com/product-tag/lyophilized-nad-vial"",""https://www.oligopolypeptides.com/product-tag/lyophilized-nad-vial/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=cagrilintide","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=aod-9604","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=bpc-tb-blend","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=thymosin-beta-4","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=ara-290","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=cjc-1295-nodac","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=igf-1-lr3","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=peg-mgf","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=follistatin-344","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=mots-c-2","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=ss-31","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=semax","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=thymosin-alpha-1","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=pt-141","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=melanotan-ii","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=starter-research-Research%20Panel-bpc-157-tb-500-ghk-cu","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=recovery-cellular-Research%20Panel-bpc-157-tb-500-ghk-cu-ss-31","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=recovery-support-Research%20Panel-bpc-157-tb-500-ara-290","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=metabolic-research-Research%20Panel","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
"https://www.oligopolypeptides.com/?product=advanced-multi-pathway-Research%20Panel","301","2","[""https://www.oligopolypeptides.com/products/"",""https://www.oligopolypeptides.com/research-catalog/""]","200","null","Hold: product-to-article equivalence or destination quality unresolved"
